,movie_title,year,certificate,time_minute,genres,imdb_score,movie_imdb_link,metascore,vote
185,The Dirty Dozen,1967,Approved,150,"
Action, Adventure, War            ",7.7,https://www.imdb.com/title/tt0061578,73,74099
186,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115,"
Action, Adventure            ",8.4,https://www.imdb.com/title/tt0082971,85,961319
187,Edge of Tomorrow,2014,PG-13,113,"
Action, Adventure, Sci-Fi            ",7.9,https://www.imdb.com/title/tt1631867,71,675760
188,Full Metal Jacket,1987,R,116,"
Drama, War            ",8.3,https://www.imdb.com/title/tt0093058,76,739880
189,The Father,2020,PG-13,97,"
Drama, Mystery            ",8.2,https://www.imdb.com/title/tt10272386,88,151277
190,300,2006,R,117,"
Action, Drama            ",7.6,https://www.imdb.com/title/tt0416449,52,818739
191,Nightcrawler,2014,R,117,"
Crime, Drama, Thriller            ",7.8,https://www.imdb.com/title/tt2872718,76,543991
192,"Monsters, Inc.",2001,G,92,"
Animation, Adventure, Comedy            ",8.1,https://www.imdb.com/title/tt0198781,79,904638
193,The Perks of Being a Wallflower,2012,PG-13,103,"
Drama            ",8.0,https://www.imdb.com/title/tt1659337,67,510771
194,Die Hard,1988,R,132,"
Action, Thriller            ",8.2,https://www.imdb.com/title/tt0095016,72,872499
195,Hamilton,2020,PG-13,160,"
Biography, Drama, History            ",8.4,https://www.imdb.com/title/tt8503618,90,93799
196,Thor: Ragnarok,2017,PG-13,130,"
Action, Adventure, Comedy            ",7.9,https://www.imdb.com/title/tt3501632,74,746109
197,Ex Machina,2014,R,108,"
Drama, Sci-Fi, Thriller            ",7.7,https://www.imdb.com/title/tt0470752,78,543723
198,The Irishman,2019,R,209,"
Biography, Crime, Drama            ",7.8,https://www.imdb.com/title/tt1302006,94,385596
199,Amadeus,1984,R,160,"
Biography, Drama, Music            ",8.4,https://www.imdb.com/title/tt0086879,88,400468
200,La La Land,2016,PG-13,128,"
Comedy, Drama, Music            ",8.0,https://www.imdb.com/title/tt3783958,94,583574
201,Catch Me If You Can,2002,PG-13,141,"
Biography, Crime, Drama            ",8.1,https://www.imdb.com/title/tt0264464,75,973469
202,Blue Is the Warmest Colour,2013,NC-17,180,"
Drama, Romance            ",7.7,https://www.imdb.com/title/tt2278871,89,152894
203,There Will Be Blood,2007,R,158,"
Drama            ",8.2,https://www.imdb.com/title/tt0469494,93,584564
204,Dead Poets Society,1989,PG,128,"
Comedy, Drama            ",8.1,https://www.imdb.com/title/tt0097165,79,488334
205,Bohemian Rhapsody,2018,PG-13,134,"
Biography, Drama, Music            ",7.9,https://www.imdb.com/title/tt1727824,49,535978
206,The Pianist,2002,R,150,"
Biography, Drama, Music            ",8.5,https://www.imdb.com/title/tt0253474,85,826431
207,Inside Out,2015,PG,95,"
Animation, Adventure, Comedy            ",8.2,https://www.imdb.com/title/tt2096673,94,709239
208,Marriage Story,2019,R,137,"
Drama, Romance            ",7.9,https://www.imdb.com/title/tt7653254,94,307186
209,The Intouchables,2011,R,112,"
Biography, Comedy, Drama            ",8.5,https://www.imdb.com/title/tt1675434,57,852457
210,The Others,2001,PG-13,104,"
Horror, Mystery, Thriller            ",7.6,https://www.imdb.com/title/tt0230600,74,367738
211,Primal Fear,1996,R,129,"
Crime, Drama, Mystery            ",7.7,https://www.imdb.com/title/tt0117381,47,217798
212,Come and See,1985,Not Rated,142,"
Drama, Thriller, War            ",8.4,https://www.imdb.com/title/tt0091251,,79584
213,Y tu mamá también,2001,R,106,"
Drama            ",7.7,https://www.imdb.com/title/tt0245574,88,123492
214,Rocky,1976,PG,120,"
Drama, Sport            ",8.1,https://www.imdb.com/title/tt0075148,70,573757
215,Toy Story,1995,G,81,"
Animation, Adventure, Comedy            ",8.3,https://www.imdb.com/title/tt0114709,95,988392
216,Trainspotting,1996,R,93,"
Drama            ",8.1,https://www.imdb.com/title/tt0117951,83,685517
217,The Hateful Eight,2015,R,168,"
Crime, Drama, Mystery            ",7.8,https://www.imdb.com/title/tt3460252,68,596698
218,The Social Network,2010,PG-13,120,"
Biography, Drama            ",7.8,https://www.imdb.com/title/tt1285016,95,700195
219,Tombstone,1993,R,130,"
Biography, Drama, History            ",7.8,https://www.imdb.com/title/tt0108358,50,149710
220,Moana,2016,PG,107,"
Animation, Adventure, Comedy            ",7.6,https://www.imdb.com/title/tt3521164,81,334556
221,Skyfall,2012,PG-13,143,"
Action, Adventure, Thriller            ",7.8,https://www.imdb.com/title/tt1074638,81,696062
222,The Blind Side,2009,PG-13,129,"
Biography, Drama, Sport            ",7.6,https://www.imdb.com/title/tt0878804,53,332330
223,Nosferatu,1922,Not Rated,94,"
Fantasy, Horror            ",7.9,https://www.imdb.com/title/tt0013442,,98159
